artist,track,msPlayed,track_id,flag
Big Brother & The Holding Company,Combination of the Two,347360,6xxR2WCzYgE9ri0PXX5pV3,10
Big Brother & The Holding Company,I Need a Man to Love,817,5Z27tZEeC8WBiQvoDpx1Sw,8
Bill Bruford,Hell's Bells,214333,0DKvzig7rwfWTZ0gvb0Zfx,1
Bill Bruford,One Of A Kind - Part One,140600,7xiBXbFvDLUV5dEtsxxJn7,2
Bill Evans,Lullaby For Helene - Quartet,159533,5ghiyS7WEp7kljYddZ7zTk,10
Bill Evans,Peace Piece,404160,58yFroDNbzHpYzvicaC0de,10
Bill Evans,The Washington Twist,5324,6ABnkGAmU34Z39MrUZvpgc,2
Bill Frisell,A Hard Rain's A-Gonna Fall,146245,4rTIHSHAUhS7VZdv7RWaQL,1
Bill Frisell,Blues Dream,151573,2d1pPFNNqy4dis7aGvSL3V,3
Bill Frisell,Coffaro's Theme,267466,2kyeWq7YO3QSKDpWwj4xkn,2
Bill Frisell,Messin' with the Kid,179293,2Y8uiyLgsCO6f2x4w1mGyA,1
Bill Frisell,Outlaws,475466,6XpcNZVkuSlurCExNOUNhG,2
Bill Frisell,Pipeline,426173,5PBP5VRLIf2XfLedZr1suU,1
Bill Frisell,Pretty Stars,237573,4iEj3gYqRBz4mSpVGEj0fY,2
Bill Frisell,Rumble,296080,5waUJCkM1jT8hU0htPf7zt,1
Bill Frisell,Smilin' Jones,302440,5QurFwdIzLTizHdk2vhaP2,2
Bill Frisell,Surfer Girl,254106,2Ksw2QttWAoNr9Tkz7IXKA,1
Bill Frisell,The Shortest Day,297386,276hkRf4xa0mz7fQWPTjNX,1
Bill Frisell,"Turn, Turn, Turn",160600,32D5dKH2Jgz6wmPSCGXB2f,3
Bill Frisell,You Only Live Twice,37555,7mnnhCIdixuTnWVfwwseml,2
Bill Withers,Grandma's Hands,4598,1qfDfZAvrkSAFrAR2FTQDv,5
Bill Wyman,Come Back Suzanne,203960,3A9XAuulgqftfVB6xL4HNc,8
Billie Holiday,All of Me,44531,1LGqJ3nvxpVXDWpEzq4DJD,10
Billie Holiday,Stormy Weather,221280,3mwIoHzwnTnGWjAUVqajLr,10
Billy Cobham,Le Lis,200106,3RvBCuciKe9DkygQFBdStp,10
Billy Cobham,Quadrant 4,11062,4yorEi80D59lHE1xiN0vak,8
Billy Cobham,Red Baron,396666,6ipO2COc25UhJu9tKCkNsd,10
Billy Cobham,Sorcery,144560,4yRlmBsQb1pWLghRsgI7la,3
Billy Cobham,Spectrum,309517,5z4bK30zUHdFObuKWbpgrr,5
Billy Cobham,Stratus,589786,1BYVhbLZ6PAsv36Gc8iPuK,10
Billy F Gibbons,Missin’ Yo’ Kissin’,9486,2YbHdXlXvAgLbZgb7kROJr,1
Billy Joel,52nd Street,1072,4V4JM8brxPHFkaDd4OyTii,1
Billy Joel,Nocturne,166066,4Gsi5C4lnZUrwOpURLXpwK,4
Billy Preston,Outa-Space,250866,17KFO56mkVEKR0v8qOPlkU,10
Billy Squier,All Night Long,25593,5eqTvP4fooKYTc9LdmrpdT,3
Billy Strings,Turmoil & Tinfoil,382998,3kipE3F3ghfvZHPxDvbNQF,2
Björn Meyer,Three Thirteen,192960,3gyKbGXXCzhzFHZUNmjiYP,1
Black Cat Bones,Death Valley Blues,234602,7kqhFEqZvl9ynxwD8No4qM,1
Black Label Society,The Day That Heaven Had Gone Away,26913,3SbyP8sNZPxw7hdLswnhL7,1
